         23778725 function calls (21425465 primitive calls) in 64.872 seconds

   Ordered by: cumulative time
   List reduced from 1053 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      182    0.068    0.000  104.036    0.572 /home/jed/venv/lib/python3.12/site-packages/rich/live.py:240(refresh)
  229/223    0.442    0.002   94.989    0.426 /home/jed/venv/lib/python3.12/site-packages/rich/console.py:1648(print)
37562/12494    0.963    0.000   86.383    0.007 {method 'extend' of 'list' objects}
249667/45904    1.193    0.000   80.715    0.002 /home/jed/venv/lib/python3.12/site-packages/rich/console.py:1300(render)
        1    0.000    0.000   65.305   65.305 /home/jed/venv/lib/python3.12/site-packages/rich/live.py:183(__exit__)
        1    0.000    0.000   65.305   65.305 /home/jed/venv/lib/python3.12/site-packages/rich/live.py:145(stop)
   5533/3    0.045    0.000   65.192   21.731 /projects/vibe_eucher/src/training/profiling.py:220(wrapper)
  2091168    5.457    0.000   53.930    0.000 /usr/lib/python3.12/json/encoder.py:414(_iterencode)
4012062/2091168   18.263    0.000   41.755    0.000 /usr/lib/python3.12/json/encoder.py:278(_iterencode_list)
  182/181    0.003    0.000   38.641    0.213 /usr/lib/python3.12/threading.py:637(wait)
  2091138    5.520    0.000   32.794    0.000 /usr/lib/python3.12/json/encoder.py:334(_iterencode_dict)
  182/181    0.617    0.003   28.201    0.156 /usr/lib/python3.12/threading.py:323(wait)
41355/14511    0.771    0.000   19.640    0.001 /home/jed/venv/lib/python3.12/site-packages/rich/segment.py:278(split_and_crop_lines)
  731/724    1.876    0.003   17.971    0.025 {method 'acquire' of '_thread.lock' objects}
    35826    0.134    0.000   16.759    0.000 /home/jed/venv/lib/python3.12/site-packages/rich/table.py:476(__rich_console__)
  459/444    0.159    0.000   14.022    0.032 /home/jed/venv/lib/python3.12/site-packages/rich/console.py:868(__exit__)
46049/45048    0.088    0.000   13.343    0.000 /home/jed/venv/lib/python3.12/site-packages/rich/live_render.py:76(__rich_console__)
    35335    0.258    0.000   11.831    0.000 /home/jed/venv/lib/python3.12/site-packages/rich/table.py:747(_render)
12223/224    0.219    0.000   10.837    0.048 /home/jed/venv/lib/python3.12/site-packages/rich/console.py:1351(render_lines)
    46276    0.089    0.000   10.821    0.000 /home/jed/venv/lib/python3.12/site-packages/rich/layout.py:395(__rich_console__)
      227    0.005    0.000   10.097    0.044 /home/jed/venv/lib/python3.12/site-packages/rich/layout.py:366(render)
  459/444    0.576    0.001    9.689    0.022 /home/jed/venv/lib/python3.12/site-packages/rich/console.py:823(_exit_buffer)
6312334/6312322    8.276    0.000    8.289    0.000 {built-in method builtins.isinstance}
36187/36147    0.134    0.000    5.949    0.000 /home/jed/venv/lib/python3.12/site-packages/rich/padding.py:79(__rich_console__)
       18    0.003    0.000    4.799    0.267 /projects/vibe_eucher/src/training/self_play.py:39(run_game_with_collection)
    34708    0.137    0.000    4.464    0.000 /home/jed/venv/lib/python3.12/site-packages/rich/segment.py:325(adjust_line_length)
49092/49087    0.423    0.000    4.408    0.000 {built-in method builtins.sum}
    22040    0.127    0.000    4.363    0.000 /home/jed/venv/lib/python3.12/site-packages/rich/segment.py:211(<genexpr>)
      157    0.008    0.000    4.322    0.028 /projects/vibe_eucher/src/game.py:215(play_hand)
      785    0.031    0.000    4.160    0.005 /projects/vibe_eucher/src/game.py:342(_play_trick)


